NO.,시설구분,단말번호,관측소코드,위도,경도,고도,주소,설치층수,건물전체층수,제조사,연결상태,축보정,설치시점,수신시간,등록순번,시설구분세부,H3 Cell,Same_H3_Count,H3_Category,센서 품질,Sensor_Replacement_Status,통신품질기준,Communication_Quality_Status,Image_Link_1,Image_Link_2
101,POM,01227587376,EUM0G,36.9326,127.6894,149.4,충북 음성군 음성읍 중앙로 94,1,3,엔티모아,normal,0,21년8월,2024.09.30 08:57:59,4716,우정사업본부,8530e3affffffff,6,양호,10,교체불필요,-,,https://www.dropbox.com/scl/fi/inxcn34ptzdtzuk5oi5c9/01227587376_2.jpg?rlkey=l5t7fi99t3eyyt7l0tf267xk4&dl=0,https://www.dropbox.com/scl/fi/p6mi1ltlieqq9xeqznh58/01227587376_1.jpg?rlkey=bnbn5nl184v9p3090407ppfy4&dl=0
102,FSM,01227587377,JECC1,37.1606,128.2129,310,충북 제천시 신죽하로 164,2,3,우리넷,normal,45,21년8월,2024.09.30 08:57:58,7129,소방청,8530ee13fffffff,19,양호,,,-,,,
103,SKM,01227587378,JSP05,33.2273,126.2602,19.11,제주 서귀포시 대정읍 상모대서로66번길 8,1,2,우리넷,normal,0,20년1월,2024.09.30 08:57:58,744,SKT1,8530d02ffffffff,8,양호,10,교체불필요,-,,,
104,SKM,01227587381,JIJ0J,35.18,128.1123,21.42,경남 진주시 동진로 193,1,3,우리넷,disc.,45,20년5월,2023.09.26 19:31:40,3151,대리점,-,,,,,-,,,
105,SKM,01227587383,DDH05,35.9109,128.6367,31.33,대구 동구 팔공로25길 40,3,3,우리넷,normal,45,20년1월,2024.09.30 08:57:58,264,SKT2,8530c193fffffff,81,초과밀,10,교체불필요,-,,,
106,SKM,01227587384,YOJ05,36.8089,128.624,140.88,경북 영주시 시청로 29,2,2,우리넷,normal,45,20년1월,2024.09.30 08:57:58,1597,SKT2,8530ee77fffffff,10,양호,10,교체불필요,-,,,
107,SKM,01227587388,ULJ07,36.7181,129.3565,157.35,경북 울진군 온정면 소태리 466-2,1,1,우리넷,normal,0,20년1월,2024.09.30 08:57:58,301,SKT1,8530eaa3fffffff,2,부족,5,교체검토,-,,,
108,SKM,01227587389,KYU01,35.9907,129.2233,15.99,경북 경주시 안강읍 비화원로 81-3,3,3,우리넷,normal,0,20년1월,2024.09.30 08:57:58,223,SKT1,8530ea7bfffffff,7,양호,6,관찰필요,-,,,
109,SKM,01227587391,DDS0M,35.8186,128.5378,46.88,대구 달서구 월배로 222,1,4,우리넷,disc.,45,20년5월,2021.12.11 11:31:52,2950,대리점,-,,,,,-,,,
110,SKM,01227587392,POH01,35.9662,129.4151,27.72,경북 포항시 남구 오천읍 정몽주로 537,4,4,우리넷,normal,0,20년1월,2024.09.30 08:57:58,233,SKT1,8530ea6bfffffff,15,양호,9,교체불필요,-,,,
